Feature ID,Feature Name,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000132541,RIDA,0.0106948427573741,0.13878431202113894,0.24088341789582204,278,0.11659538102591181,251
ENSG00000119899,SLC17A5,0.01069179877492563,0.1386686285130445,0.2407319197020435,213,0.09022900180715637,190
ENSG00000105221,AKT2,0.010690805898061142,0.1398020402895659,0.24247609115798469,1883,0.9221610518736605,1100
ENSG00000117697,NSL1,0.010688345203623112,0.13967978339180398,0.2423384207556943,677,0.3165386731217094,532
ENSG00000167674,HDGFL2,0.010686919594059742,0.13992058946009833,0.24265688151662307,1061,0.5203537973563767,767
ENSG00000204160,ZDHHC18,0.010676204028169269,0.13976209215781243,0.2424564115873889,511,0.25961742888062633,431
ENSG00000268350,FAM156A,0.010673703474636873,0.13431174975899784,0.2341994657424714,53,0.02760178061259674,53
ENSG00000166960,CCDC178,0.010670960597691286,0.10599582566732968,0.19170042781795396,9,0.004940507872484992,9
ENSG00000131943,C19orf12,0.010670726365903629,0.1403511262875723,0.24332886747924132,909,0.4521216519623147,675
ENSG00000137876,RSL24D1,0.010670096269977173,0.13795358158547266,0.2396132591128064,110,0.049811001826263614,106
ENSG00000251247,ZNF345,0.010663141936729032,0.1399605763032088,0.24270140233656562,260,0.11597419232102979,234
ENSG00000130649,CYP2E1,0.010662273612023723,0.1381121825169056,0.23986416127756788,147,0.0642296682819785,130
ENSG00000113805,CNTN3,0.010655441044266592,0.13171550329563164,0.23033570323611538,29,0.010874575246831096,29
ENSG00000197769,MAP1LC3C,0.010647331839510377,0.13170658796930468,0.23033570323611538,29,0.015357858788768861,28
ENSG00000143570,SLC39A1,0.010643135289790375,0.14154684442128507,0.24527649226476564,2510,1.2015091639736801,1289
ENSG00000168671,UGT3A2,0.01064011668678026,0.08511999091956013,0.158689721360262,7,0.0026316371740614753,7
ENSG00000157833,GAREM2,0.010636590196091934,0.13997734380959992,0.24270565421844517,164,0.08258599812719576,154
ENSG00000107819,SFXN3,0.010631498137519537,0.14194850371544132,0.24586970923802784,1763,0.8619640706556178,1065
ENSG00000105875,WDR91,0.01062391103884078,0.1418737839128661,0.245792778710273,536,0.2490555977200787,451
ENSG00000101871,MID1,0.01062180957425932,0.14151682910162977,0.2452495472338783,438,0.21818173920309725,375
ENSG00000123268,ATF1,0.010619400945950881,0.14196169539524917,0.24586970923802784,443,0.22630982107043737,390
ENSG00000105613,MAST1,0.010615885216793389,0.13619689023693482,0.23697476160478173,44,0.02103521981146523,44
ENSG00000198000,NOL8,0.010615646719502091,0.14233708978361204,0.24646951488013058,906,0.46330734284189473,713
ENSG00000166548,TK2,0.010614479852568375,0.14245563430456598,0.24664959395420868,989,0.4760768427006446,726
ENSG00000131381,RBSN,0.010614458674199807,0.1419481023941278,0.24586970923802784,367,0.17272677255183969,323
ENSG00000013375,PGM3,0.010613727256306861,0.14256413436604487,0.24681224691534,1405,0.6765669930384985,930
ENSG00000134489,HRH4,0.01061165982844321,0.12856902534303272,0.22548456146330575,20,0.007989595056406298,20
ENSG00000013016,EHD3,0.010610968913256446,0.14157380738719083,0.24529814312135242,219,0.10844446498553154,198
ENSG00000134278,SPIRE1,0.010603971318464803,0.14271670391264335,0.24705115357718554,648,0.30052231287933134,522
ENSG00000198887,SMC5,0.010599495181940546,0.14308489382903833,0.24756212776584507,1369,0.6533269157237366,923
ENSG00000105137,SYDE1,0.010592318607910286,0.14316174540262616,0.24764454969453362,706,0.35612609193457323,561
ENSG00000166889,PATL1,0.01058977335729489,0.143129651931994,0.24761429784234962,553,0.2577753426026862,452
ENSG00000101331,CCM2L,0.010588839194828966,0.14210481816478837,0.24609245017015546,217,0.10575358531486743,186
ENSG00000151466,SCLT1,0.01058863707629787,0.1433635715795929,0.24791778789885943,857,0.41110777318043623,658
ENSG00000163870,TPRA1,0.010585255256166272,0.14346531259239015,0.24804312764546016,795,0.37019841394700553,613
ENSG00000174282,ZBTB4,0.010584437753431888,0.1436344355686474,0.24831020909868953,1475,0.7380998160007328,966
ENSG00000121807,CCR2,0.010583029591629194,0.14145004071943612,0.24515886223239827,135,0.06737778331089539,124
ENSG00000123119,NECAB1,0.010582994131777997,0.08329966766901298,0.15575852714905108,4,0.002495120051304538,4
ENSG00000100376,FAM118A,0.010575232266081775,0.14388974448619551,0.24870085921286153,1042,0.5416838990546902,763
ENSG00000093144,ECHDC1,0.010570842233790508,0.1439930435344452,0.24885403262823488,1044,0.48578302732914325,745
ENSG00000108799,EZH1,0.010570123181331203,0.14404246235260731,0.24891406653002796,926,0.4478146984803387,701
ENSG00000158604,TMED4,0.010562379650653882,0.14440909231439947,0.24949532446367395,1309,0.6026598429550901,895
ENSG00000125355,TMEM255A,0.010558379689192154,0.13459641319454962,0.2346475670231768,28,0.01460340519731495,28
ENSG00000172239,PAIP1,0.0105553107136844,0.14371095259247513,0.24841715846786536,390,0.18423572403010047,335
ENSG00000214226,C17orf67,0.010551342452252652,0.14278657560633912,0.24712164177520143,156,0.07694930348823235,146
ENSG00000166342,NETO1,0.010547152292208277,0.1351308199067709,0.23538558724950107,36,0.016535111753189346,33
ENSG00000133069,TMCC2,0.010545480727747927,0.14274085386035518,0.24706773214379396,138,0.06671590091902456,130
ENSG00000143256,PFDN2,0.01053732361028322,0.1453239700942408,0.2508218048435059,1466,0.6704759072251512,933
ENSG00000140848,CPNE2,0.010536737972835495,0.14486803869818043,0.2501367479467309,450,0.22509980441403435,402
ENSG00000014138,POLA2,0.010536100385875649,0.14478734771708024,0.2500738277501404,540,0.26072671079968757,442
ENSG00000110422,HIPK3,0.01053521288011342,0.14542619556561953,0.2509596112889932,2155,1.0644688839620926,1187
ENSG00000131725,WDR44,0.010533743771687346,0.14507332831671893,0.2504402004156046,478,0.2310376789521742,401
ENSG00000007384,RHBDF1,0.010531909149667151,0.1454334187161943,0.2509596112889932,975,0.44985960301455225,698
ENSG00000164035,EMCN,0.01052862934891955,0.1434314244557311,0.24800982868153645,133,0.06607605692674418,121
ENSG00000154027,AK5,0.010527357041514585,0.13683286890507063,0.2379104152821831,37,0.020371391733196423,36
ENSG00000244411,KRTAP5-7,0.010524208407593159,0.13819017346293916,0.2399750282588006,35,0.014430466628256124,33
ENSG00000172296,SPTLC3,0.010522019239904517,0.144859909899542,0.2501367479467309,249,0.11516704662993424,230
ENSG00000012822,CALCOCO1,0.010520789533559406,0.14592723741444558,0.25173487821779716,1799,0.9067443614580691,1082
ENSG00000174292,TNK1,0.010520644133401294,0.14290904355804068,0.24730835199377582,92,0.0379795838990241,87
ENSG00000050748,MAPK9,0.010511106270196122,0.14609864365176994,0.2520049246588775,704,0.32048204975445765,574
ENSG00000179886,TIGD5,0.010506509248676296,0.14307197132575,0.24756212776584507,214,0.10567222673347662,194
ENSG00000138315,OIT3,0.010495644757440109,0.13547914638757463,0.23589539363817813,23,0.011158230894594848,23
ENSG00000135205,CCDC146,0.01049356693650855,0.14574417480921875,0.25144466670555554,220,0.10471875249149323,204
ENSG00000161010,MRNIP,0.010489786964337878,0.14702302737848938,0.253341641038206,1189,0.5770896808986546,824
ENSG00000159618,ADGRG5,0.010489479103856416,0.14502430238056507,0.25038106136049904,151,0.07772893041368024,143
ENSG00000114388,NPRL2,0.010484151336427527,0.14685674462899456,0.2531580323782383,465,0.213265742083103,391
ENSG00000177302,TOP3A,0.010482011700140962,0.14693786438472878,0.2532721180132871,467,0.22612655712343446,399
ENSG00000198576,ARC,0.010478604647665018,0.10631785446142827,0.1921655548549099,6,0.0020745582618750254,6
ENSG00000152484,USP12,0.010478377645657205,0.14730763453142215,0.25367736270652425,703,0.33129475086072563,562
ENSG00000138792,ENPEP,0.010472427485988532,0.1470815200622173,0.2533909248180909,391,0.20124372530917045,323
ENSG00000110696,C11orf58,0.010471289307769022,0.14775841545190294,0.25437613480621063,2875,1.3653043785410948,1355
ENSG00000196419,XRCC6,0.010466790696027546,0.14791646426634397,0.2545706765984769,2903,1.3590299717955492,1347
ENSG00000122574,WIPF3,0.010465492731032032,0.14715846981129221,0.25349022514443464,280,0.13577869303890241,257
ENSG00000135457,TFCP2,0.010464881402561507,0.14790670396030636,0.2545706765984769,1017,0.47834764535506896,738
ENSG00000137274,BPHL,0.0104622989506104,0.14706569046227402,0.25338940204241805,239,0.1046056935912407,211
ENSG00000167074,TEF,0.01046184913001941,0.14795011791268609,0.2546027506183191,943,0.46877904452897606,702
ENSG00000102103,PQBP1,0.010461075175013239,0.1479866527758087,0.25463977582066993,814,0.3827800576582847,622
ENSG00000136169,SETDB2,0.010457706199431854,0.1475234525215825,0.25402321897734204,306,0.14254289740846302,280
ENSG00000180957,PITPNB,0.010453439470072469,0.1484360701328189,0.2552576461133798,2432,1.1388382190992195,1218
ENSG00000156509,FBXO43,0.010450083834115711,0.12201828641442058,0.2158491264472127,11,0.004591428432138431,11
ENSG00000121486,TRMT1L,0.010450010639317558,0.148093495539952,0.25477190496035984,497,0.23041932759007594,409
ENSG00000213859,KCTD11,0.010445811999592016,0.14680204985886958,0.2530894807105222,220,0.1238282809207254,209
ENSG00000039139,DNAH5,0.01044456309051638,0.13979563677546558,0.24247609115798469,32,0.011644603514367817,31
ENSG00000169087,HSPBAP1,0.010432411022733361,0.14855785105179709,0.2554152526855459,323,0.1596327066141922,300
ENSG00000163462,TRIM46,0.010431408141294044,0.1443559943902044,0.24943044526004135,61,0.02910054073718971,61
ENSG00000183628,DGCR6,0.010429289697848081,0.14673975239813775,0.2530078065857853,100,0.05154564374247386,99
ENSG00000169733,RFNG,0.010428560449803684,0.1490575557803342,0.2561185568764352,724,0.3773324316932141,592
ENSG00000138663,COPS4,0.01042754963884893,0.14897547744278494,0.25600347096746157,477,0.21446877731367825,407
ENSG00000184465,WDR27,0.010425229277639073,0.1491353792808141,0.2562003465727959,584,0.27750661331920795,486
ENSG00000116353,MECR,0.010423053817315106,0.14930891358415743,0.2564464918352553,689,0.33029481231677227,564
ENSG00000188581,KRTAP1-1,0.010421553777016096,0.0038047148965525412,0.010036585709685977,3,0.0011689872711803076,3
ENSG00000213199,ASIC3,0.010419846327712883,0.14481979420365887,0.2501043894192556,57,0.02529557379789288,56
ENSG00000167283,ATP5MG,0.010409971787335812,0.14999452955714565,0.25741545238504376,3972,1.9245350641784484,1550
ENSG00000148660,CAMK2G,0.010407807516727431,0.14971803407356044,0.2569929684806261,470,0.21873496147786461,407
ENSG00000264522,OTUD7B,0.010406175803033704,0.1499030723988446,0.25728454033711395,625,0.2878606223652741,511
ENSG00000198612,COPS8,0.010403368341608214,0.15014364354115028,0.25764527657860953,889,0.476337712985839,699
ENSG00000169583,CLIC3,0.010400992670862507,0.1488900447851511,0.25588259698808435,203,0.1011935848342611,178
ENSG00000150782,IL18,0.010400832051066889,0.14854386362481442,0.2554152526855459,153,0.06504195780256992,147
ENSG00000111664,GNB3,0.010397894699539402,0.14951184033679055,0.2566910117539187,225,0.12057215579322104,218
ENSG00000274211,SOCS7,0.010396778404097763,0.14911534720462938,0.2561918926334907,233,0.10995852146812048,213
ENSG00000105732,ZNF574,0.010394633680039194,0.14946547945333477,0.25666339903290164,240,0.10924769706399189,218
ENSG00000126759,CFP,0.010387546277081503,0.14451581828243754,0.24963027846769698,48,0.027633850225750697,46
ENSG00000171703,TCEA2,0.010387267695129411,0.15059277882584232,0.2583114095723726,785,0.385565091261663,601
ENSG00000127081,ZNF484,0.010377497213644032,0.15069377215863633,0.2584584939987375,391,0.1757451399239973,346
ENSG00000162650,ATXN7L2,0.010375200415410802,0.15025858407559167,0.2577642451095397,210,0.10421264656395535,195
